,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mehamn,100,NO,1578360733,88,71.03,27.85,24.19,16.15
1,Mataura,71,NZ,1578360677,72,-46.19,168.86,57.0,10.0
2,Kodiak,1,US,1578360735,79,39.95,-94.76,37.0,10.45
3,Warrnambool,0,AU,1578360643,84,-38.38,142.48,64.99,15.52
4,Bredasdorp,100,ZA,1578360738,77,-34.53,20.04,64.99,2.24
5,Vostok,84,RU,1578360739,76,46.45,135.83,20.97,0.54
6,Severo-Kurilsk,100,RU,1578360740,73,50.68,156.12,24.93,16.75
7,Bluff,100,AU,1578360741,40,-23.58,149.07,89.13,10.58
8,Saint-Pierre,90,FR,1578360742,100,48.95,4.24,43.0,12.75
9,Mar del Plata,69,AR,1578360743,61,-46.43,-67.52,62.08,3.2
10,Hasaki,75,JP,1578360744,70,35.73,140.83,46.0,6.93
11,Darovskoy,98,RU,1578360746,97,58.77,47.96,8.02,4.94
12,Carnarvon,100,ZA,1578360747,65,-30.97,22.13,66.13,14.7
13,Cherskiy,0,RU,1578360748,73,68.75,161.3,-17.46,5.53
14,Albany,75,US,1578360484,64,42.65,-73.75,34.0,4.7
15,Ribeira Grande,100,PT,1578360750,94,38.52,-28.7,61.27,16.58
16,Saint-Philippe,75,CA,1578360751,85,45.36,-73.48,19.0,3.27
17,Ushuaia,75,AR,1578360603,70,-54.81,-68.31,48.2,3.36
18,Lebedinyy,100,RU,1578360753,92,58.52,125.52,10.9,14.05
19,Petropavlovsk-Kamchatskiy,100,RU,1578360755,46,53.05,158.65,28.4,17.9
20,Guozhen,84,CN,1578360756,79,29.3,113.14,43.72,8.84
21,Hobart,75,AU,1578360703,63,-42.88,147.33,71.01,16.11
22,Punta Arenas,90,CL,1578360758,81,-53.16,-70.91,53.6,6.93
23,Barrow,0,AR,1578360759,72,-38.31,-60.23,55.94,5.79
24,Dauphin,1,CA,1578360760,62,51.15,-100.04,23.0,26.4
25,Vaini,75,IN,1578360761,94,15.34,74.49,68.0,9.17
26,Agira,0,IT,1578360762,74,37.66,14.52,48.0,5.82
27,Atuona,32,PF,1578360764,68,-9.8,-139.03,81.05,10.56
28,Torbay,90,CA,1578360765,79,47.66,-52.73,26.01,6.93
29,Vestmannaeyjar,100,IS,1578360766,92,63.44,-20.27,36.57,40.89
30,Tuktoyaktuk,90,CA,1578360767,74,69.44,-133.03,-23.8,9.17
31,Busselton,0,AU,1578360768,18,-33.64,115.35,87.01,9.46
32,Sretensk,2,RU,1578360769,89,52.24,117.7,1.42,0.85
33,Abu Kamal,0,SY,1578360770,71,34.45,40.92,49.1,11.56
34,Saskylakh,65,RU,1578360772,94,71.97,114.09,-1.55,8.72
35,Hofn,100,IS,1578360773,67,64.25,-15.21,41.13,16.06
36,Vila Velha,40,BR,1578360774,78,-3.71,-38.6,86.0,5.82
37,Nome,90,US,1578360775,82,30.04,-94.42,66.99,3.36
38,Yellowknife,40,CA,1578360776,74,62.45,-114.38,-23.01,6.93
39,Marstal,100,DK,1578360777,86,54.86,10.52,39.0,11.41
40,Hilo,20,US,1578360778,54,19.71,-155.08,82.4,8.05
41,Chuy,41,UY,1578360780,77,-33.69,-53.46,66.38,3.49
42,Okhotsk,0,RU,1578360781,78,59.36,143.24,-4.52,12.53
43,Rikitea,40,PF,1578360782,77,-23.12,-134.97,76.77,12.59
44,Qaanaaq,32,GL,1578360783,84,77.48,-69.36,-18.02,11.54
45,Arraial do Cabo,75,BR,1578360784,94,-22.97,-42.02,77.0,3.36
46,East London,98,ZA,1578360785,77,-33.02,27.91,72.34,6.62
47,Puerto El Triunfo,20,SV,1578360787,69,13.27,-88.55,80.6,5.82
48,Hermanus,99,ZA,1578360788,79,-34.42,19.24,64.99,5.99
49,Mahebourg,40,MU,1578360789,94,-20.41,57.7,77.0,1.79
50,Salalah,1,OM,1578360790,78,17.01,54.1,75.2,5.82
51,Usinsk,100,RU,1578360791,94,66.0,57.56,7.43,14.63
52,Fortuna,1,US,1578360792,76,40.6,-124.16,51.8,5.82
53,Santa Vitoria do Palmar,41,BR,1578360793,77,-33.52,-53.37,66.38,3.49
54,Faya,0,SA,1578360795,82,18.39,42.45,55.4,8.05
55,Khatanga,90,RU,1578360796,90,71.98,102.47,2.66,12.57
56,Yazman,0,SY,1578360797,90,36.74,38.46,42.94,17.07
57,Olinda,90,AU,1578360798,77,-37.84,145.39,69.01,11.41
58,Hithadhoo,100,MV,1578360632,77,-0.6,73.08,83.71,13.91
59,Sabang,73,PH,1578360800,76,13.8,121.11,81.0,5.99
60,Kruisfontein,100,ZA,1578360801,91,-34.0,24.73,64.04,5.75
61,Bambous Virieux,40,MU,1578360803,94,-20.34,57.76,77.0,2.42
62,Fukue,90,JP,1578360804,65,35.03,136.69,48.99,8.05
63,Peravurani,59,IN,1578360805,74,10.15,79.08,79.27,13.0
64,Livingstone,100,ZW,1578360806,89,-17.85,25.86,70.65,2.21
65,Busayra,0,JO,1578360807,69,30.74,35.61,41.65,3.8
66,Flin Flon,90,CA,1578360617,71,54.77,-101.88,3.2,18.34
67,Nanortalik,23,GL,1578360809,68,60.14,-45.24,15.93,46.64
68,Baie-Comeau,90,CA,1578360604,72,49.22,-68.15,17.6,15.43
69,Malindi,44,KE,1578360812,95,-3.22,40.12,76.51,2.64
70,Kharan,60,PK,1578360623,81,28.58,65.42,52.2,9.62
71,Kanye,93,BW,1578360814,73,-24.98,25.34,69.71,3.98
72,Tuatapere,98,NZ,1578360815,72,-46.13,167.69,57.0,10.0
73,Pacific Grove,1,US,1578360690,67,36.62,-121.92,59.0,15.46
74,Ancud,75,CL,1578360817,100,-41.87,-73.83,53.6,6.93
75,Norman Wells,20,CA,1578360818,65,65.28,-126.83,-38.2,2.24
76,Broken Hill,0,AU,1578360819,35,-31.97,141.45,84.2,16.11
